地點一,地點二,方位,對應原文
鄯善,都護治/烏壘,西北,西北去都護治所千七百八十五里
鄯善,車師前,西北,西北至車師千八百九十里
鄯善,且末,西,鄯善當漢道衝，西通且末七百二十里
且末,都護治/烏壘,西北,西北至都護治所二千二百五十八里
且末,精絕,西,西通精絕二千里
精絕,都護治/烏壘,北,北至都護治所二千七百二十三里
精絕,扜彌,西,西通扜彌四百六十里
扜彌,都護治/烏壘,東北,東北至都護治所三千五百五十三里
扜彌,于闐,西,西通于闐三百九十里
于闐,都護治/烏壘,東北,東北至都護治所三千九百四十七里
于闐,皮山,西,西通皮山三百八十里
皮山,都護治/烏壘,東北,東北至都護治所四千二百九十二里
皮山,姑墨,北,北至姑墨千四百五十里
皮山,莎車,西北,西北通莎車三百八十里
休循,都護治/烏壘,東,東至都護治所三千一百二十一里
捐毒,都護治/烏壘,東,東至都護治所二千八百六十一里
莎車,都護治/烏壘,東北,東北至都護治所四千七百四十六里
莎車,疏勒,西,西至疏勒五百六十里
疏勒,都護治/烏壘,東,東至都護治所二千二百一十里
疏勒,莎車,南,南至莎車五百六十里
尉頭,都護治/烏壘,東,東至都護治所千四百一十一里
尉頭,捐毒,西,西至捐毒千三百一十四里
烏孫,都護治/烏壘,東,東至都護治所千七百二十一里
姑墨,都護治/烏壘,東,東至都護治所一千二十一里
姑墨,龜茲,東,東通龜茲六百七十里
溫宿,都護治/烏壘,東,東至都護治所二千三百八十里
溫宿,尉頭,西,西至尉頭三百里
溫宿,烏孫,北,北至烏孫赤谷六百一十里
溫宿,姑墨,東,東通姑墨二百七十里
龜茲,都護治/烏壘,東,東至都護治所烏壘城三百五十里
尉犁,都護治/烏壘,西,西至都護治所三百里
焉耆,都護治/烏壘,西南,西南至都護治所四百里
焉耆,尉犁,南,南至尉犁百里
卑陸,都護治/烏壘,西南,西南至都護治所千二百八十七里
蒲類,都護治/烏壘,西南,西南至都護治所千三百八十七里
西且彌,都護治/烏壘,西南,西南至都護治所千四百八十七里
東且彌,都護治/烏壘,西南,西南至都護治所千五百八十七里
劫,都護治/烏壘,西南,西南至都護治所千四百八十七里
狐胡,都護治/烏壘,西,西至都護治所千一百四十七里
山,焉耆,西北,西北至焉耆百六十里
車師前,都護治/烏壘,西南,西南至都護治所千八百七里
車師後,都護治/烏壘,西南,西南至都護治所千二百三十七里
尉頭,疏勒,南,南與疏勒接
姑墨,烏孫,北,北與烏孫接
