地點一,地點二,里程
都護治/烏壘,龜茲,350
龜茲,姑墨,670
姑墨,溫宿,270
溫宿,尉頭,300
溫宿,烏孫,610
尉頭,烏孫,380
烏孫,捐毒,960
捐毒,休循,260
鄯善,且末,720
且末,精絕,600
精絕,扜彌,460
扜彌,于闐,390
于闐,姑墨,1520
于闐,皮山,380
皮山,莎車,380
莎車,疏勒,560
疏勒,姑墨,1200
渠犁,尉犁,50
渠犁,都護治/烏壘,330
尉犁,都護治/烏壘,300
尉犁,焉耆,100
山,焉耆,160
都護治/烏壘,車師後,1237
山,車師前,525
焉耆,狐胡,770
車師前,高昌壁,15
高昌壁,蒲類,235
高昌壁,車師後城長,500
蒲類,車師前,210
蒲類,蒲類後,270
車師前,狐胡,50
狐胡,東且彌,150
東且彌,西且彌,420
東且彌,劫,190
劫,卑陸,110
劫,卑陸後,140
卑陸,西且彌,200
卑陸,車師後,50
卑陸,郁立師,150
郁立師,車師後,120
車師後,車師後城長,55
西且彌,單桓,200
單桓,烏貪訾離,1460
鄯善,山,1365
