section,group_id,name,index,src,dst,w1,w2
GRAPH,0,,,高昌壁,車師前,15,
GRAPH,0,,,高昌壁,蒲類,235,
GRAPH,0,,,高昌壁,車師後城長,500,
GRAPH,1,,,山,焉耆,160,
GRAPH,1,,,山,車師前,525,
GRAPH,1,,,山,鄯善,1365,
GRAPH,2,,,龜茲,都護治/烏壘,350,
GRAPH,2,,,龜茲,姑墨,670,
GRAPH,3,,,皮山,于闐,380,
GRAPH,3,,,皮山,莎車,380,
GRAPH,4,,,且末,鄯善,720,
GRAPH,4,,,且末,精絕,600,
GRAPH,5,,,車師後,都護治/烏壘,1237,
GRAPH,5,,,車師後,卑陸,50,
GRAPH,5,,,車師後,郁立師,120,
GRAPH,5,,,車師後,車師後城長,55,
GRAPH,6,,,捐毒,烏孫,960,
GRAPH,6,,,捐毒,休循,260,
GRAPH,7,,,扜彌,精絕,460,
GRAPH,7,,,扜彌,于闐,390,
GRAPH,8,,,車師後城長,高昌壁,500,
GRAPH,8,,,車師後城長,車師後,55,
GRAPH,9,,,渠犁,尉犁,50,
GRAPH,9,,,渠犁,都護治/烏壘,330,
GRAPH,10,,,蒲類後,蒲類,270,
GRAPH,11,,,尉頭,溫宿,300,
GRAPH,11,,,尉頭,烏孫,380,
GRAPH,12,,,烏貪訾離,單桓,1460,
GRAPH,13,,,劫,東且彌,190,
GRAPH,13,,,劫,卑陸,110,
GRAPH,13,,,劫,卑陸後,140,
GRAPH,14,,,郁立師,卑陸,150,
GRAPH,14,,,郁立師,車師後,120,
GRAPH,15,,,東且彌,狐胡,150,
GRAPH,15,,,東且彌,西且彌,420,
GRAPH,15,,,東且彌,劫,190,
GRAPH,16,,,于闐,扜彌,390,
GRAPH,16,,,于闐,姑墨,1520,
GRAPH,16,,,于闐,皮山,380,
GRAPH,17,,,卑陸,劫,110,
GRAPH,17,,,卑陸,西且彌,200,
GRAPH,17,,,卑陸,車師後,50,
GRAPH,17,,,卑陸,郁立師,150,
GRAPH,18,,,卑陸後,劫,140,
GRAPH,19,,,休循,捐毒,260,
GRAPH,20,,,車師前,山,525,
GRAPH,20,,,車師前,高昌壁,15,
GRAPH,20,,,車師前,蒲類,210,
GRAPH,20,,,車師前,狐胡,50,
GRAPH,21,,,疏勒,莎車,560,
GRAPH,21,,,疏勒,姑墨,1200,
GRAPH,22,,,西且彌,東且彌,420,
GRAPH,22,,,西且彌,卑陸,200,
GRAPH,22,,,西且彌,單桓,200,
GRAPH,23,,,溫宿,姑墨,270,
GRAPH,23,,,溫宿,尉頭,300,
GRAPH,23,,,溫宿,烏孫,610,
GRAPH,24,,,姑墨,龜茲,670,
GRAPH,24,,,姑墨,溫宿,270,
GRAPH,24,,,姑墨,于闐,1520,
GRAPH,24,,,姑墨,疏勒,1200,
GRAPH,25,,,烏孫,溫宿,610,
GRAPH,25,,,烏孫,尉頭,380,
GRAPH,25,,,烏孫,捐毒,960,
GRAPH,26,,,尉犁,渠犁,50,
GRAPH,26,,,尉犁,都護治/烏壘,300,
GRAPH,26,,,尉犁,焉耆,100,
GRAPH,27,,,蒲類,高昌壁,235,
GRAPH,27,,,蒲類,車師前,210,
GRAPH,27,,,蒲類,蒲類後,270,
GRAPH,28,,,精絕,且末,600,
GRAPH,28,,,精絕,扜彌,460,
GRAPH,29,,,單桓,西且彌,200,
GRAPH,29,,,單桓,烏貪訾離,1460,
GRAPH,30,,,鄯善,且末,720,
GRAPH,30,,,鄯善,山,1365,
GRAPH,31,,,都護治/烏壘,龜茲,350,
GRAPH,31,,,都護治/烏壘,渠犁,330,
GRAPH,31,,,都護治/烏壘,尉犁,300,
GRAPH,31,,,都護治/烏壘,車師後,1237,
GRAPH,32,,,莎車,皮山,380,
GRAPH,32,,,莎車,疏勒,560,
GRAPH,33,,,狐胡,焉耆,770,
GRAPH,33,,,狐胡,車師前,50,
GRAPH,33,,,狐胡,東且彌,150,
GRAPH,34,,,焉耆,尉犁,100,
GRAPH,34,,,焉耆,山,160,
GRAPH,34,,,焉耆,狐胡,770,
VERTICE,,高昌壁,,,,,
VERTICE,,山,,,,,
VERTICE,,龜茲,,,,,
VERTICE,,皮山,,,,,
VERTICE,,且末,,,,,
